Instruction,Input,Output,materi,question_id,Template,correct_answer
Generate a Python program to print the most popular item in a list.,"A list of integers [1, 5, 9, 1, 4, 5, 9]","from collections import Counter

def most_popular(arr):
    cnt = Counter()
    for number in arr:
        cnt[number] += 1
    return cnt.most_common(1)[0][0]

result = most_popular([1, 5, 9, 1, 4, 5, 9])
print(result)",Introduction Python,3101,"from collections import Counter

def most_popular(arr):
    cnt = Counter()
    for number in arr:
        cnt[number] += 1
    return cnt.most_common(1)[0][0]

result = most_popular([1, 5, 9, 1, 4, 5, 9])
print(___)",result
Generate a Python program to print a square matrix of size n containing the numbers from 11 to n*n.,3,"n = 3

output_matrix = [[0 for x in range(n)] for y in range(n)] 
  
num = 1
  
for i in range (0, n):    
 for j in range(0, n):     
 output_matrix[i][j] = num    
 num = num + 1    
  
for i in range(0, n):
 for j in range(0, n):
 print(output_matrix[i][j], end = "" "")
 print("""")",Introduction Python,3236,"n = 3

output_matrix = [[0 for x in range(n)] for y in range(n)] 
  
num = 1
  
for i in range (0, n):    
 for j in range(0, n):     
 output_matrix[i][j] = num    
 num = num + 1    
  
for i in range(0, n):
 for j in range(0, n):
 print(output_matrix[i][j], end = "" "")
 print(___)",""""""
Design a FOR loop algorithm in Python to print all numbers starting from one to the given number.,10,"for i in range(1, 11): 
    print(i)",Introduction Python,3245,"for i in range(1, 11): 
    print(___)",i
"Create a Python program to determine if a given string is a palindrome and if so, print it.","String = ""racecar""","# Function to check if a string is a palindrome
def isPalindrome(s):
 # Reverse the string
 rev_s = s[::-1]

 # Check if the string is the same as its reverse
 if (s == rev_s):
 return True
 return False

# Driver code
s = 'racecar'

# Check if the given word is a palindrome
if (isPalindrome(s)):
 print(s)",Introduction Python,3250,"# Function to check if a string is a palindrome
def isPalindrome(s):
 # Reverse the string
 rev_s = s[::-1]

 # Check if the string is the same as its reverse
 if (s == rev_s):
 return True
 return False

# Driver code
s = 'racecar'

# Check if the given word is a palindrome
if (isPalindrome(s)):
 print(___)",s
Develop a Python script to print out the prime numbers up to a given limit.,An integer limit of 100.,"def is_prime(n):
 if n == 1:
 return False
 for i in range(2, n):
 if n % i == 0:
 return False
 return True

# Print out prime numbers from 1 to 100
limit = 100

for i in range(1, limit+1):
 if is_prime(i):
 print(i)",Introduction Python,3369,"def is_prime(n):
 if n == 1:
 return False
 for i in range(2, n):
 if n % i == 0:
 return False
 return True

# Print out prime numbers from 1 to 100
limit = 100

for i in range(1, limit+1):
 if is_prime(i):
 print(___)",i
Create a Python function to print all elements in a nested list.,"nested_list = [1, [2, 3], 4, [[5, 6], 7], 8, [9]]","def print_elements(nested_list):
    
    for item in nested_list:
        if type(item) == list:
            print_elements(item)
        else:
            print(item)

print_elements(nested_list)",Introduction Python,3371,"def print_elements(nested_list):
    
    for item in nested_list:
        if type(item) == list:
            print_elements(item)
        else:
            print(___)

print_elements(nested_list)",item
Generate a Python code which calls a function to print the following array?,"[1,3,7,9,10]","arr = [1,3,7,9,10]

def print_array(arr):
    '''This function prints the elements of an array'''
    for ele in arr:
        print(ele)

print_array(arr)",Introduction Python,3399,"arr = [1,3,7,9,10]

def print_array(arr):
    '''This function prints the elements of an array'''
    for ele in arr:
        print(___)

print_array(arr)",ele
Write a Python program to print out the even numbers in the given list.,"list = [1, 4, 5, 6, 7, 8]","#Print out even numbers from the given list
for num in list:
    if (num % 2 == 0):
        print(num)",Introduction Python,3447,"#Print out even numbers from the given list
for num in list:
    if (num % 2 == 0):
        print(___)",num
Create a for loop in Python to print out the numbers in a given list in reverse order.,"[1,2,3,4,5]","list = [1,2,3,4,5]
for i in reversed(list):
    print(i)",Introduction Python,3468,"list = [1,2,3,4,5]
for i in reversed(list):
    print(___)",i
Modify the following python code to print the count of values greater than 5.,"data = [1,2,3,4,5,6,7,8,9]","data = [1,2,3,4,5,6,7,8,9]

count = 0
for value in data:
  if value > 5:
    count += 1

print(count)",Introduction Python,3532,"data = [1,2,3,4,5,6,7,8,9]

count = 0
for value in data:
  if value > 5:
    count += 1

print(___)",count
Generate a Python program to print the elements of a given array in reverse order.,"arr = [3, 7, 2, 5]","def print_reverse(arr):
    for i in range(len(arr)-1, -1, -1):
        print(arr[i])",Introduction Python,3584,"def print_reverse(arr):
    for i in range(len(arr)-1, -1, -1):
        print(___)",arr[i]
Suggest a completion of the following Python code to print all perfect squares between 25 and 45.,for n in range():,"for n in range(25, 46):
    if n ** 0.5 == int(n ** 0.5):
        print(n)",Introduction Python,3607,"for n in range(25, 46):
    if n ** 0.5 == int(n ** 0.5):
        print(___)",n
Write a Python code fragment to print all the leap years between two years.,"start_year = 2010
end_year = 2020","for year in range(start_year, end_year+1):
    if year % 4 == 0 and (year % 100 != 0 or year % 400 == 0):
        print(year)",Introduction Python,3686,"for year in range(start_year, end_year+1):
    if year % 4 == 0 and (year % 100 != 0 or year % 400 == 0):
        print(___)",year
Design a loop in Python to iterate over the elements of a list and print the elements in reverse order.,"[10, 15, 20]","my_list = [10, 15, 20]
for i in my_list[::-1]:
    print(i)",Introduction Python,3717,"my_list = [10, 15, 20]
for i in my_list[::-1]:
    print(___)",i
"Generate a class in Python, implementing the __init__ and __str__ methods to initialize a variable and print its value.","name = ""John Doe""","class Person:
    def __init__(self, name):
        self.name = name

    def __str__(self):
        return self.name

p = Person('John Doe')
print(p)",Introduction Python,3724,"class Person:
    def __init__(self, name):
        self.name = name

    def __str__(self):
        return self.name

p = Person('John Doe')
print(___)",p
Create a Python program to read in a list of items and print them out in reverse order.,"[""Apple"", ""Pear"", ""Banana"", ""Orange""]","my_list = [""Apple"", ""Pear"", ""Banana"", ""Orange""]

for item in reversed(my_list):
 print(item)",Introduction Python,3787,"my_list = [""Apple"", ""Pear"", ""Banana"", ""Orange""]

for item in reversed(my_list):
 print(___)",item
Edit the given Python code to add a feature which will print the squares of given numbers.,"def printNumbers(a, b): 
    for i in range(a, b + 1): 
        print(i, end = "" "")","def printNumbers(a, b): 
    for i in range(a, b + 1): 
        print(i, end = "" "") 
    print(""\n"")
    for i in range(a, b + 1):
        print(i*i, end = "" "")",Introduction Python,3932,"def printNumbers(a, b): 
    for i in range(a, b + 1): 
        print(i, end = "" "") 
    print(___)
    for i in range(a, b + 1):
        print(i*i, end = "" "")","""\n"""
Please provide Python code to print out all the prime numbers in a list of numbers.,"list_of_numbers = [2, 3, 4, 5, 6, 7, 8, 9, 11]","def is_prime(num):
  for i in range(2, num):
    if num % i == 0:
      return False
  return True

list_of_numbers = [2, 3, 4, 5, 6, 7, 8, 9, 11] 
for i in list_of_numbers:
  if is_prime(i):
    print(i)",Introduction Python,4036,"def is_prime(num):
  for i in range(2, num):
    if num % i == 0:
      return False
  return True

list_of_numbers = [2, 3, 4, 5, 6, 7, 8, 9, 11] 
for i in list_of_numbers:
  if is_prime(i):
    print(___)",i
Create a Python script to print the first n even numbers.,n = 10,"n = 10

for i in range(1, n+1):
 if i % 2 == 0:
 print(i)",Introduction Python,4160,"n = 10

for i in range(1, n+1):
 if i % 2 == 0:
 print(___)",i
Generate a Python script to print all the prime numbers in a given range.,Range = 2 to 20,"for n in range(2, 21): 
   if n > 1: 
       for i in range(2, n//2 + 2): 
           if (n % i) == 0: 
               break
       else: 
           print(n)",Introduction Python,4211,"for n in range(2, 21): 
   if n > 1: 
       for i in range(2, n//2 + 2): 
           if (n % i) == 0: 
               break
       else: 
           print(___)",n
Modify a basic Python algorithm to increase the speed of the program.,"list_of_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","def faster_sum(arr):
 total = 0
 # looping over the array and adding the elements
 # to the variable total
 for i in range(0, len(arr)):
 total += arr[i]
 return total

list_of_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

# using the faster_sum() function
result = faster_sum(list_of_numbers)
print(result)",Introduction Python,4314,"def faster_sum(arr):
 total = 0
 # looping over the array and adding the elements
 # to the variable total
 for i in range(0, len(arr)):
 total += arr[i]
 return total

list_of_numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

# using the faster_sum() function
result = faster_sum(list_of_numbers)
print(___)",result
Create a Python script to iterate over a list of words and print them out one by one.,"['cat', 'dog', 'bird']","for word in ['cat', 'dog', 'bird']:
    print(word)",Introduction Python,4363,"for word in ['cat', 'dog', 'bird']:
    print(___)",word
Write a Python program to concatenate two strings and print the combined string.,"The two strings are - ""I love"", ""Programming"".","string1 = 'I love'
string2 = 'Programming'

output = string1 + string2

print(output)

# Output
I love Programming",Introduction Python,4398,"string1 = 'I love'
string2 = 'Programming'

output = string1 + string2

print(___)

# Output
I love Programming",output
"Write a Python program to print all the numbers from 1 to n (inclusive), where n is a given number.",n = 20,"for i in range(1, n+1): 
 print(i)",Introduction Python,4407,"for i in range(1, n+1): 
 print(___)",i
Generate a Python code to print all the animal types entered in a list,"[""dog"", ""cat"", ""mouse"", ""snake""]","animal_list = [""dog"", ""cat"", ""mouse"", ""snake""] 

for animal in animal_list:
    print(animal)",Introduction Python,4457,"animal_list = [""dog"", ""cat"", ""mouse"", ""snake""] 

for animal in animal_list:
    print(___)",animal
"Come up with a python program to join two strings x and y, and then print the resulting combined string.","x = ""Hello""; y = ""World""","x = ""Hello""
y = ""World""

result = x + y
print(result)",Introduction Python,4507,"x = ""Hello""
y = ""World""

result = x + y
print(___)",result
"In Python, create a function to check if a given number is prime, and then print out all prime numbers between 0 and that number.",Number : 25,"def is_prime(number):
    if number <= 1:
        return False
    for i in range(2, number):
        if number % i == 0:
            return False
    return True

def print_primes(upper_limit):
    for i in range(2, upper_limit+1):
        if is_prime(i):
            print(i)

print_primes(25)",Introduction Python,4548,"def is_prime(number):
    if number <= 1:
        return False
    for i in range(2, number):
        if number % i == 0:
            return False
    return True

def print_primes(upper_limit):
    for i in range(2, upper_limit+1):
        if is_prime(i):
            print(___)

print_primes(25)",i
Generate a Python script to print the elements of a list in reverse order.,"[1, 2, 3, 4, 5]","my_list = [1, 2, 3, 4, 5]

for i in reversed(my_list):
    print(i)",Introduction Python,4585,"my_list = [1, 2, 3, 4, 5]

for i in reversed(my_list):
    print(___)",i
Modify the following Python code to print the sum of the elements in a given list (without using the sum() function).,"my_list = [1, 5, 4, -3, 10]","my_list = [1, 5, 4, -3, 10]

total = 0

for num in my_list:
 total += num

print(total) # prints 17",Introduction Python,4595,"my_list = [1, 5, 4, -3, 10]

total = 0

for num in my_list:
 total += num

print(___) # prints 17",total
"Write a Python code snippet to search and print all items in the list that starts with substring ""java"".","arr = [""python"", ""c++"", ""java"", ""java-script""]","arr = [""python"", ""c++"", ""java"", ""java-script""]

result = []
for item in arr:
    if item.startswith(""java""):
        result.append(item)
print(result)",Introduction Python,4603,"arr = [""python"", ""c++"", ""java"", ""java-script""]

result = []
for item in arr:
    if item.startswith(""java""):
        result.append(item)
print(___)",result
Create a Python script to generate 10 random numbers and print their sum.,<noinput>.,"import random

nums = random.sample(range(100), 10)
total = 0

for num in nums:
    total += num

print(total)",Introduction Python,4652,"import random

nums = random.sample(range(100), 10)
total = 0

for num in nums:
    total += num

print(___)",total
Update the given Python program to print the result in reverse order.,"numbers = [1, 2, 3, 4, 5, 6]","numbers = [1, 2, 3, 4, 5, 6]

for x in reversed(numbers):
    print(x)",Introduction Python,4714,"numbers = [1, 2, 3, 4, 5, 6]

for x in reversed(numbers):
    print(___)",x
Examine a given Python program and modify it to only print out characters which are palindromes.,"my_string = ""I like mangoes""","my_string = ""I like mangoes""

for char in my_string:
	if char == char[::-1]:
		print(char)",Introduction Python,4767,"my_string = ""I like mangoes""

for char in my_string:
	if char == char[::-1]:
		print(___)",char
Create a loop in Python to print every permutation of a list of strings.,"[""Hello"", ""World"", ""Foo"", ""Bar""]","import itertools 
  
# list of strings 
list_of_strings = [""Hello"", ""World"", ""Foo"", ""Bar""] 
  
# using itertools 
# to get the permutations 
permutations = itertools.permutations(list_of_strings) 
  
# printing permutations 
for i in list(permutations): 
    print(i)",Introduction Python,4775,"import itertools 
  
# list of strings 
list_of_strings = [""Hello"", ""World"", ""Foo"", ""Bar""] 
  
# using itertools 
# to get the permutations 
permutations = itertools.permutations(list_of_strings) 
  
# printing permutations 
for i in list(permutations): 
    print(___)",i
Generate a Python program to print all odd numbers from an array of integers.,"[3, 5, 7, 10, 15]","def printOddNumbers(array):
  for number in array:
    if number % 2 != 0:
      print(number)

array = [3, 5, 7, 10, 15]
printOddNumbers(array)",Introduction Python,4818,"def printOddNumbers(array):
  for number in array:
    if number % 2 != 0:
      print(___)

array = [3, 5, 7, 10, 15]
printOddNumbers(array)",number
Create a Python function to print the Fibonacci series up to a given range.,range: 10,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 
   
# Driver Program 
result = []
for i in range(1,10): 
    result.append(Fibonacci(i))
    
print(result)",Introduction Python,4858,"def Fibonacci(n): 
    if n<0: 
        print(""Incorrect input"") 
    # First Fibonacci number is 0 
    elif n==1: 
        return 0
    # Second Fibonacci number is 1 
    elif n==2: 
        return 1
    else: 
        return Fibonacci(n-1)+Fibonacci(n-2) 
   
# Driver Program 
result = []
for i in range(1,10): 
    result.append(Fibonacci(i))
    
print(___)",result
Generate a code that will print out all substrings of a given string.,python,"def substrings(s):
    sub_str_list = []
    for i in range(len(s)):
        for j in range(i + 1, len(s)+1):
            sub_str = s[i:j]
            sub_str_list.append(sub_str)
    return sub_str_list

result = substrings(""python"")
print(result)",Introduction Python,4965,"def substrings(s):
    sub_str_list = []
    for i in range(len(s)):
        for j in range(i + 1, len(s)+1):
            sub_str = s[i:j]
            sub_str_list.append(sub_str)
    return sub_str_list

result = substrings(""python"")
print(___)",result
Write a function to print the following pattern in Python.,n = 3,"def print_pattern(n): 
  
    # outer loop to handle number of rows 
    for i in range(1,n+1): 
      
        # inner loop to handle number of columns 
        for j in range(1,i+1): 
          
            # printing stars 
            print('* ', end="""") 
       
        # ending line after each row 
        print(""\r"") 
  
# Driver Code 
n = 3
print_pattern(n)

Output:
* 
* * 
* * *",Introduction Python,5013,"def print_pattern(n): 
  
    # outer loop to handle number of rows 
    for i in range(1,n+1): 
      
        # inner loop to handle number of columns 
        for j in range(1,i+1): 
          
            # printing stars 
            print('* ', end="""") 
       
        # ending line after each row 
        print(___) 
  
# Driver Code 
n = 3
print_pattern(n)

Output:
* 
* * 
* * *","""\r"""
"Edit the following Python script to randomly select 10 numbers between 10 and 20, store them in the list lst, and print them out.",lst = [],"import random
lst = random.sample(range(10, 21), 10)
print(lst)",Introduction Python,5033,"import random
lst = random.sample(range(10, 21), 10)
print(___)",lst
Create a function in Python to print the first n numbers of the Fibonacci series.,6,"def Fibonacci(n): 
 a = 0
 b = 1
if n<0: 
 print(""Incorrect input"") 
elif n==0: 
 print(a) 
elif n==1: 
 print(b) 
else: 
 print(a)
 print(b)
 for i in range(2,n): 
 c = a + b 
 a = b 
 b = c 
 print(b)",Introduction Python,5079,"def Fibonacci(n): 
 a = 0
 b = 1
if n<0: 
 print(""Incorrect input"") 
elif n==0: 
 print(___) 
elif n==1: 
 print(b) 
else: 
 print(a)
 print(b)
 for i in range(2,n): 
 c = a + b 
 a = b 
 b = c 
 print(b)",a
Write a python program to iterate over two lists and print only the common items.,"list1 = [1, 2, 3, 4, 5]
list2 = [4, 5, 6, 7, 8]","list1 = [1, 2, 3, 4, 5]
list2 = [4, 5, 6, 7, 8]

for i in list1:
  if i in list2: 
    print(i)",Introduction Python,5081,"list1 = [1, 2, 3, 4, 5]
list2 = [4, 5, 6, 7, 8]

for i in list1:
  if i in list2: 
    print(___)",i
Create a function in Python to print a number pyramid given a height.,3,"def pyramid(h): 
    
    for i in range(0, h): 
        for j in range(0, h-i-1): 
            print(end="" "") 
        for j in range(0, i+1): 
            print(""* "", end="""") 
        print(""\r"") 

pyramid(3)",Introduction Python,5123,"def pyramid(h): 
    
    for i in range(0, h): 
        for j in range(0, h-i-1): 
            print(end="" "") 
        for j in range(0, i+1): 
            print(""* "", end="""") 
        print(___) 

pyramid(3)","""\r"""
Modify the given program to print the output in reverse order,"def print_list(lst):
    for i in lst:
        print(i)

word_list = [""Python"", ""is"", ""fun""]

print_list(word_list)","def print_list_reverse(lst):
    for i in reversed(lst):
        print(i)

word_list = [""Python"", ""is"", ""fun""]

print_list_reverse(word_list)",Introduction Python,5134,"def print_list_reverse(lst):
    for i in reversed(lst):
        print(___)

word_list = [""Python"", ""is"", ""fun""]

print_list_reverse(word_list)",i
Create a python program to print out all combinations of elements from two lists.,"list1 = [1,2,3]
list2 = [5,6,7]","for i in list1:
    for j in list2:
        print(i, j)",Introduction Python,5135,"for i in list1:
    for j in list2:
        print(___)","i, j"
"Edit the following Python program to print all the numbers in a given list, one number per line.","[1, 2, 3, 4, 5]","list = [1, 2, 3, 4, 5]

for num in list:
    print(num)",Introduction Python,5209,"list = [1, 2, 3, 4, 5]

for num in list:
    print(___)",num
Create a function in Python to print a sorted list of the given input string.,Input string: computer,"def sortString(inputString): 
  
    words = inputString.split() 
    words.sort() 
  
    for i in words: 
        print(i) 
          
sortString(inputString)",Introduction Python,5223,"def sortString(inputString): 
  
    words = inputString.split() 
    words.sort() 
  
    for i in words: 
        print(___) 
          
sortString(inputString)",i
"Generate a Python program to print a numbers pyramid of size n, with the first line of the pyramid containing n consecutive numbers.",10,"n = int(input())
 
for i in range(1, n + 1):
 for j in range(1, i + 1):
  print(j, end="""")
 print("""")
 
for i in range(n - 1, 0, -1):
 for j in range(1, i + 1):
  print(j, end="""")
 print("""")",Introduction Python,5291,"n = int(input())
 
for i in range(1, n + 1):
 for j in range(1, i + 1):
  print(j, end="""")
 print(___)
 
for i in range(n - 1, 0, -1):
 for j in range(1, i + 1):
  print(j, end="""")
 print("""")",""""""
Create an algorithm in Python to print all the prime numbers between two given numbers.,"Range: (2, 10)","def printPrimeNumbers(start, end):
 
 for num in range(start, end + 1):
   if num > 1:
      for i in range(2, num):
          if (num % i) == 0:
              break
      else:
          print(num)
          
start = 2
end = 10
print(""Prime numbers between"", start, ""and"", end, ""are:"")
printPrimeNumbers(start, end)",Introduction Python,5327,"def printPrimeNumbers(start, end):
 
 for num in range(start, end + 1):
   if num > 1:
      for i in range(2, num):
          if (num % i) == 0:
              break
      else:
          print(___)
          
start = 2
end = 10
print(""Prime numbers between"", start, ""and"", end, ""are:"")
printPrimeNumbers(start, end)",num
Create a Python function to print out all the words in a given string with the letter e.,"str = ""Hello World""","def print_words_with_e(str): 
    words = str.split() 
    for word in words: 
        if 'e' in word: 
            print(word) 

print_words_with_e(str)",Introduction Python,5426,"def print_words_with_e(str): 
    words = str.split() 
    for word in words: 
        if 'e' in word: 
            print(___) 

print_words_with_e(str)",word
Optimize the following Python program to print numbers from 1 to 100 without using a loop.,"def print_numbers():
    num = 1
    while num <=100:
        print(num)
        num += 1","def print_numbers():
    if num <= 100:
        print(num)
        print_numbers(num + 1)

print_numbers(1)",Introduction Python,5435,"def print_numbers():
    if num <= 100:
        print(___)
        print_numbers(num + 1)

print_numbers(1)",num
Write a Python program to evaluate a simple expression and print the output.,"""7*6+20""","def evaluate_expression(exp):
  return eval(exp) 

expression = ""7*6+20""
output = evaluate_expression(expression)
print(output)",Introduction Python,5497,"def evaluate_expression(exp):
  return eval(exp) 

expression = ""7*6+20""
output = evaluate_expression(expression)
print(___)",output
Create a Python script to print out all the numbers in a given range that are divisible by a given number.,"lower = 1
upper = 50
divisible = 5","def printDivisible(lower, upper, divisible):
    for i in range(lower, upper + 1):
        if i % divisible == 0:
            print(i)

printDivisible(lower, upper, divisible)",Introduction Python,5527,"def printDivisible(lower, upper, divisible):
    for i in range(lower, upper + 1):
        if i % divisible == 0:
            print(___)

printDivisible(lower, upper, divisible)",i
Write a web scraper in Python to extract all the links from a given webpage and print them.,https://www.example.com/,"from bs4 import BeautifulSoup
import requests

# Get html of desired webpage
url = ""https://www.example.com/""
r = requests.get(url)
html = r.text

# Parse html using BeautifulSoup
soup = BeautifulSoup(html, 'html.parser')

# Extract all links
links = []
for link in soup.find_all('a'):
    links.append(link.get('href'))

# Print all links
print(links)",Introduction Python,5534,"from bs4 import BeautifulSoup
import requests

# Get html of desired webpage
url = ""https://www.example.com/""
r = requests.get(url)
html = r.text

# Parse html using BeautifulSoup
soup = BeautifulSoup(html, 'html.parser')

# Extract all links
links = []
for link in soup.find_all('a'):
    links.append(link.get('href'))

# Print all links
print(___)",links
Write a Python program to print the top 5 most frequent words in a given sentence.,"""Python is an interpreted, high-level, general-purpose programming language.""","import collections
 
sentence = ""Python is an interpreted, high-level, general-purpose programming language.""
 
# Split sentence into words
words = sentence.split()
 
# Set the counter for words
counter = collections.Counter(words)
 
# Find top 5 most frequent words
result = counter.most_common(5)
print(result)",Introduction Python,5557,"import collections
 
sentence = ""Python is an interpreted, high-level, general-purpose programming language.""
 
# Split sentence into words
words = sentence.split()
 
# Set the counter for words
counter = collections.Counter(words)
 
# Find top 5 most frequent words
result = counter.most_common(5)
print(___)",result
Create a Python script to print the sum of all numbers divisible by 3 or 7 in a list.,"[1, 2, 3, 4, 5, 6, 7, 8, 9 ,10, 11, 12, 13, 14]","nums = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]

total = 0

for num in nums:
    if (num % 3 == 0) or (num % 7 == 0):
        total += num

print(total)   # Output: 42",Introduction Python,5560,"nums = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]

total = 0

for num in nums:
    if (num % 3 == 0) or (num % 7 == 0):
        total += num

print(___)   # Output: 42",total
Create a basic Python program to list all the odd numbers from 0 to a user-specified number,user_number = 10,"def odd_numbers(num):
 for n in range(num+1):
 if n % 2 != 0:
 print(n)

odd_numbers(user_number)
# Output: 1, 3, 5, 7, 9",Introduction Python,5580,"def odd_numbers(num):
 for n in range(num+1):
 if n % 2 != 0:
 print(___)

odd_numbers(user_number)
# Output: 1, 3, 5, 7, 9",n
Create a Python script to print an nxn matrix containing all the numbers from 1 to n²,5,"def print_matrix(n):  
    matrix = [[0 for x in range(n)] for y in range(n)] 
    k = 1
  
    for i in range(0, n): 
  
        for j in range(0, n): 
  
            matrix[i][j] = k
            k = k + 1
  
    for i in range(0, n): 
  
        for j in range(0, n): 
            print(matrix[i][j], end = "" "")
    
        print("""")",Introduction Python,5621,"def print_matrix(n):  
    matrix = [[0 for x in range(n)] for y in range(n)] 
    k = 1
  
    for i in range(0, n): 
  
        for j in range(0, n): 
  
            matrix[i][j] = k
            k = k + 1
  
    for i in range(0, n): 
  
        for j in range(0, n): 
            print(matrix[i][j], end = "" "")
    
        print(___)",""""""
Write a Python script to loop through a list of numbers and print out only the even numbers.,"List of numbers: [3, 7, 10, 15, 17, 20]","my_list = [3, 7, 10, 15, 17, 20]

for number in my_list: 
  if (number % 2 == 0): 
    print(number)",Introduction Python,5872,"my_list = [3, 7, 10, 15, 17, 20]

for number in my_list: 
  if (number % 2 == 0): 
    print(___)",number
Create a for-loop in Python to loop through the items in a list and print their elements.,"names = ['John', 'Kate', 'Mike', 'Alex']","for name in names:
    print(name)",Introduction Python,5914,"for name in names:
    print(___)",name
Create a program in Python to print the following pattern,n = 5,"def print_pattern(n):
    for i in range(1, n+1):
        for j in range(1, i+1):
            print(j, end="""")
        print("""")

print_pattern(5)",Introduction Python,5923,"def print_pattern(n):
    for i in range(1, n+1):
        for j in range(1, i+1):
            print(j, end="""")
        print(___)

print_pattern(5)",""""""
Debug the following Python program to print the given output.,"a = [3,4,6,2,1]
for x in a:
 print(x)
Expected Output:
1
2
3
4
6","a = [3,4,6,2,1]
for x in a:
 print(x)
a.sort() 
for x in a:
 print(x) 

Output:
1
2
3
4
6",Introduction Python,5978,"a = [3,4,6,2,1]
for x in a:
 print(___)
a.sort() 
for x in a:
 print(x) 

Output:
1
2
3
4
6",x
Design an algorithm in Python to print out binary numbers between 1 and N.,3,"def print_binary(n):
 if n == 0:
  return
 
 print_binary(n-1)
 print(bin(n))
 
print_binary(3)
 
# Output: 
# 0b1
# 0b10
# 0b11",Introduction Python,6009,"def print_binary(n):
 if n == 0:
  return
 
 print_binary(n-1)
 print(___)
 
print_binary(3)
 
# Output: 
# 0b1
# 0b10
# 0b11",bin(n)
Create a Python program to parse a list of strings and print the words with odd length.,"['abc', 'hello', 'world']","list = ['abc', 'hello', 'world']

for word in list:
    if (len(word) % 2 != 0):
        print(word)",Introduction Python,6012,"list = ['abc', 'hello', 'world']

for word in list:
    if (len(word) % 2 != 0):
        print(___)",word
Generate code to print each element of a list of strings in Python.,"[""apple"", ""banana"", ""cherry""]","for item in [""apple"", ""banana"", ""cherry""]:
    print(item)",Introduction Python,6021,"for item in [""apple"", ""banana"", ""cherry""]:
    print(___)",item
Create a Python program to read in 15 integers and print the sum of them.,"[1, 5, 9, 0, 2, 4, 7, 8, 6, 10, 3, 11, 12, 13, 14]","def sum_nums(nums):
    total = 0
    for num in nums:
        total += num
    return total

lst = [1, 5, 9, 0, 2, 4, 7, 8, 6, 10, 3, 11, 12, 13, 14]
total = sum_nums(lst)
print(total)",Introduction Python,6062,"def sum_nums(nums):
    total = 0
    for num in nums:
        total += num
    return total

lst = [1, 5, 9, 0, 2, 4, 7, 8, 6, 10, 3, 11, 12, 13, 14]
total = sum_nums(lst)
print(___)",total
Create a basic web scraper in Python that takes a URL as input and returns the text content of that URL.,https://www.example.com,"import requests
from bs4 import BeautifulSoup

url = 'https://www.example.com'
response = requests.get(url)
soup = BeautifulSoup(response.text, 'html.parser')

text = soup.get_text()

print(text)",Introduction Python,6143,"import requests
from bs4 import BeautifulSoup

url = 'https://www.example.com'
response = requests.get(url)
soup = BeautifulSoup(response.text, 'html.parser')

text = soup.get_text()

print(___)",text
Create a Python program to iterate through a dictionary and print out all the values.,"{""a"":1, ""b"":2, ""c"":3, ""d"":4}","my_dict = {""a"":1, ""b"":2, ""c"":3, ""d"":4}

for key, value in my_dict.items():
    print(value)",Introduction Python,6155,"my_dict = {""a"":1, ""b"":2, ""c"":3, ""d"":4}

for key, value in my_dict.items():
    print(___)",value
Create a basic Python program to split a given string in words and save them in an array.,"String = ""This is a sentence.""","string = ""This is a sentence.""
words = string.split("" "")
print(words)
# Output: ['This', 'is', 'a', 'sentence.']",Introduction Python,6311,"string = ""This is a sentence.""
words = string.split("" "")
print(___)
# Output: ['This', 'is', 'a', 'sentence.']",words
"Using a for loop and if block, write a Python program to print numbers divisible by 5.","Start: 1
End: 20","for num in range(1, 20): 
    if num % 5 == 0: 
        print(num)",Introduction Python,6325,"for num in range(1, 20): 
    if num % 5 == 0: 
        print(___)",num
Write a loop in Python to iterate through a list and print all elements that have an even length.,"List: [""apples"", ""oranges"", ""bananas"", ""pineapples""]","list_x = [""apples"", ""oranges"", ""bananas"", ""pineapples""]
for item in list_x:
 if(len(item) % 2 == 0):
  print(item)
#output: apples, oranges, pineapples",Introduction Python,6351,"list_x = [""apples"", ""oranges"", ""bananas"", ""pineapples""]
for item in list_x:
 if(len(item) % 2 == 0):
  print(___)
#output: apples, oranges, pineapples",item
