Instruction,Input,Output
Write a Python program to generate a bar chart with labels using matplotlib from a given list of numbers.,"list = [1, 2, 3, 4, 5]","import matplotlib.pyplot as plt

list = [1, 2, 3, 4, 5]

plt.bar(range(len(list)), list)
plt.xlabel('Index')
plt.ylabel('Value')
plt.title('My Bar Chart')

plt.show()"
Write a Python program to take a string as input and to create an object that contains all unique characters in the string as keys and the number of occurrences of the character as values.,"string = ""This is a string""","def char_freq(string):
 freq_dict = {}
 
 for char in string:
 if char in freq_dict:
 freq_dict[char] += 1
 else: 
 freq_dict[char] = 1
 
 return freq_dict"
Create a REST API endpoint in Python with a GET route to query a database. The route should accept a 'name' as a query parameter and return a list of results from the query.,name= 'John',"@app.route('/api/search', methods=['GET'])
def search():
name = request.args.get('name')
query = _db.execute(""SELECT * FROM users WHERE name=?"", [name]).fetchall()
return jsonify(query)"
Write a python program to print the elements in a list which are not repeated more than once.,"[1, 2, 3, 2, 4, 2, 3]","result = []
for ele in list:
    if list.count(ele) == 1:
        result.append(ele)
print(result) # Output: [1, 4]"
Write a Python script that finds the most common element of a given list.,"list = [3, 5, 6, 3, 7, 8, 3, 4]","def find_most_frequent_element(list):
 count_map = {}
 max_element= list[0]
 max_count = 1
 for num in list:
  if num in count_map:
   count_map[num] += 1
  else:
   count_map[num] = 1
 for num in count_map:
  if count_map[num] > max_count:
   max_element = num
   max_count = count_map[num]
 return max_element"
Generate a Python program to calculate the square root of a given number using Newton’s Method.,x = 36,"def square_root(x):
    guess = x/2
    while True:
        next_guess = 0.5 * (guess + (x/guess))
        if abs(guess - next_guess) < 0.0001:
            break
            guess = next_guess
    return guess

print(square_root(36)) # prints 6.0"
Create a Python function to sum all the middle elements of a given list.,"numbers = [5, 10, 15, 20]","def middle_sum(numbers):
    if len(numbers) == 0:
        return None
    
    if len(numbers) % 2 == 1:
        return numbers[len(numbers) // 2]
    else:
        return numbers[len(numbers) // 2 - 1] + numbers[len(numbers) // 2]"
Generate a Python program that searches a list of given integers for a given target value and returns its index if found.,"list = [2, 3, 4, 5, 6], target = 4","def search(list, target):
  for i in range(len(list)):
    if list[i] == target:
      return i
  return -1

list = [2, 3, 4, 5, 6]
target = 4

index = search(list, target)
if index == -1:
  print(""The target was not found."")
else:
  print(""The target was found at index %d."" % index)"
"Create a program in Python that takes a list of integers, and prints the sum of the even numbers and the sum of the odd numbers.","list=[2,4,5,7,1,3]","list=[2,4,5,7,1,3]

even_sum= 6
odd_sum= 15

def sum_even_odd(list):
    even_sum=0
    odd_sum=0
    
    for num in list:
        if num % 2 == 0:
            even_sum+=num
        else:
            odd_sum+=num 
    
    print(""even_sum="",even_sum)
    print(""odd_sum="",odd_sum)
    
sum_even_odd(list)"
Trace the recursive Fibonacci algorithm in Python and test its execution time for different values of n.,num = 10,"import time 

def fib(n): 
 if n<0: 
  print(""Incorrect input"") 
 elif n==1: 
  return 0
 elif n==2: 
  return 1
 else: 
  return fib(n-1)+fib(n-2) 

start = time.time() 

num = 10 
print(fib(num))

print(""Time taken:"", time.time()-start)"
Develop an algorithm to check if a string S is a palindrome in Python.,"String S = ""racecar""","def is_palindrome(s):
    # Convert strings to lowercase
    s = s.lower()
 
    # Iterate through middle of string with indices 
    for i in range(len(s) // 2):
        if s[i] != s[len(s) - i - 1]:
            return False
    return True"
Can you write a python program to produce the intersection of two given lists?,"list 1: [2, 3, 4] 
list 2: [3, 5, 6, 4]","list1 = [2, 3, 4] 
list2 = [3, 5, 6, 4]

# create a set of elements in list1
s1 = set(list1)

# create a set of elements in list2
s2 = set(list2)

# find the intersection 
intersection = s1.intersection(s2)

# print the intersection 
print(intersection) 
# prints {3, 4}"
Create a Python program to convert a comma-separated string into a list.,"""1,2,3,4,5""","string = ""1,2,3,4,5""
list = string.split("","")
print(list)"
"Create a Python program which takes a list of words as input, and prints out the frequent words.","Words: [""python"", ""is"", ""a"", ""programming"", ""language""]","from collections import Counter

words = [""python"", ""is"", ""a"", ""programming"", ""language""]

word_count = Counter(words) 

for k,v in word_count.items(): 
    print(k,v) 

# To get the most frequent word 
most_freq_word = max(word_count, key=word_count.get) 

print(""Most frequent word is:"", most_freq_word)"
Optimize the following Python code to maximize performance.,"for row in records:
    for key, value in row.items():
        do_something(key, value)","for row in records:
    for key, value in row.items():
        try:
            do_something(key, value)
        except Exception:
            pass"
Create a Python method to get the index of the largest element in an array.,"[1,2,3,4,5]","def find_largest_index(arr):
    largest = float('-inf')
    largest_index = 0
    for i in range(len(arr)):
        num = arr[i]
        if num > largest:
            largest = num
            largest_index = i
    return largest_index 

print(find_largest_index([1,2,3,4,5])) # 4"
Write a Python program to convert a given time in 12 hour format to 24 hour format.,12:05 PM,"def convert_to_24(time):
    if time[-2:] == ""PM"" and time[:2] != ""12"":
        return str(int(time[:2])+12)+time[2:-2]
    elif time[-2:] == ""AM"" and time[:2] == ""12"":
        return ""00""+time[2:-2]
    else:
        return time[:-2]"
Create an algorithm in Python to sort an array of numbers.,"[9, 3, 5, 1, 6]","def sortArray(arr):
    for i in range(len(arr)):
        for j in range(i+1,len(arr)):
            if arr[i] > arr[j]:
                temp = arr[i]
                arr[i] = arr[j]
                arr[j] = temp
    return arr

arr = [9, 3, 5, 1, 6]
print(sortArray(arr))"
Translate this code from JavaScript to Python,"const helloWorld = () =>  console.log(""Hello World!"")","def hello_world():
    print(""Hello World!"")"
Edit the following Python program to count the occurrence of the word “apple” in a given sentence.,"sentence = ""I have an apple, and the apple is delicious.""","sentence = ""I have an apple, and the apple is delicious.""

word = ""apple""

count = 0

for word in sentence.split():
    if(word == ""apple""):
        count = count + 1

print(""The no. of occurrences of the word 'apple' is:"", count)"
Generate a Python program to find all the common elements of two given lists.,"[1, 2, 3], [3, 4, 5]","def find_common_elements(list1, list2):
 return list(set(list1).intersection(set(list2)))

result = find_common_elements([1, 2, 3], [3, 4, 5])
print(result)"
Write a Python program to display the first and last colors from the following list.,"Colors: ['Red', 'Green', 'White', 'Black']","# List of colors
colors = ['Red', 'Green', 'White', 'Black']

# First color
print(colors[0])

# Last color
print(colors[-1])"
Create a python script that prints out a list of names in alphabetical order.,"Robert, Asher, Aster, Athena","list_of_names= [""Asher"", ""Aster"", ""Athena"", ""Robert""]
list_of_names.sort()

print(list_of_names)"
What is the output of the following Python code?,"def foo(x): 
  if x > 5: 
    return 1
  elif x < 0: 
    return -1
  else: 
    return 0
  
foo(3)",0
Author a Python program to check if a number is a palindrome.,1991,"def isPalindrome(num):
  numStr = str(num)
  for i in range(0, len(numStr)//2):
    if numStr[i] != numStr[len(numStr)-i-1]:
      return False
  return True

print(isPalindrome(1991)) # Output: True"
Construct a Python function to redesign a given list to meet a given sorting criteria.,"my_list = [31, 5, 42, 69, 20]","def sort_list(my_list):
    return sorted(my_list)"
Develop a Python program that takes a text string as input and displays only those words which contain the letter ‘a’.,"""This is an example of a string to test.""","input_text = 'This is an example of a string to test.'

words = input_text.split()

for word in words:
  if 'a' in word:
    print(word)

# Output: 
an
example
a
string
test."
Construct a Python program to find all substrings of a given string,String : Python,"def get_all_substrings(input_string): 
	length = len(input_string) 
	return [input_string[i:j+1] for i in range(length)  
							for j in range(i,length)] 

output = get_all_substrings('Python') 
print(output)"
Write code to find the median of an array of integers using Python.,"[2, 4, 5, 7, 8, 9, 11]","def get_median(nums):
    nums.sort()
    if len(nums) % 2 == 0:
        return (nums[int(len(nums)/2)] + nums[int((len(nums)/2) - 1)] )/ 2
    else:
        return nums[int(len(nums) / 2)]

nums = [2, 4, 5, 7, 8, 9, 11]
median = get_median(nums)
print(""Median is: "",median)"
Write a python function to reverse the words in a given sentence.,"sentence = ""hello world how are you""","def reverseWords(sentence): 
    words = sentence.split(' ') 
    words = words[::-1] 
    return ' '.join(words) 
      
print(reverseWords(sentence))"
Create a program in Python to evaluate a strinf expression and solve it.,exp = '4+2/3',"def solve_expression(exp):
 # Solve the expression
 return eval(exp)

exp = '4+2/3'
res = solve_expression(exp)
print(res) # Output: 4.666666666666667"
Write a Python program that calculates the distance between two points on a two-dimensional plane.,"Point1 (x1: 3, y1: 4); Point2 (x2: -9, y2: -2)","#include <iostream>
#include <math.h>

int main() 
{ 
    int x1 = 3; 
    int y1 = 4; 

    int x2 = -9; 
    int y2 = -2;

    float distance = sqrt(pow(x2 - x1, 2) + pow(y2 - y1, 2)); 

    std::cout << ""Distance between the two points is: "" << distance << std::endl; 

    return 0; 
}"
Refactor the following Python code to make use of list comprehensions.,"result = []
for x in range(10):
  for y in range(10):
    result.append(x * y)",result = [x * y for x in range(10) for y in range(10)]
Create a for loop statement in Python to iterate over a list and print the each item in the list.,"[1,2,3,4,5]","for i in [1,2,3,4,5]:
    print(i)"
Develop a Python solution to identify parts of speech of a given sentence.,"Sentence: ""I like apples.""","import nltk

sentence = ""I like apples.""
words = nltk.word_tokenize(sentence)
tagged_words = nltk.pos_tag(words)

parts_of_speech = dict()
for word, tag in tagged_words:
  parts_of_speech[word] = tag

print(parts_of_speech)
# Output: {'I': 'PRP', 'like': 'VBP', 'apples': 'NNS'}"
"Write a Python program to optimize an equation of the form ax3 + bx2 + cx + d = 0, where a,b,c and d are given constants and x is a variable.","a = 1, b = -10, c = 32, d = -30","def optimize_equation(a, b, c, d):
    # calculate the discriminant
    discriminant = b**2 - 4*a*c
    x1 = (2*c)/(-b + (discriminant**0.5))
    x2 = (-b - (discriminant**0.5))/(2*a)
    
    # return the optimized values
    return (x1, x2)"
Write a Python program to analyze the given user input sentences regarding sentiment.,Given sentence: I am so excited to start this project,"def analyze_sentiment(sentence):
    sentiment = TextBlob(sentence)
    if sentiment.polarity > 0:
        print(""Sentence is Positive"")
    elif sentiment.polarity == 0:
        print(""Sentence is Neutral"")
    else:
        print(""Sentence is Negative"")

sentence = ""I am so excited to start this project""
analyze_sentiment(sentence)"
generate valid python statements to check if the string contains a particular character,Check if a string contains 'a',"""""""
Check if a string contains 'a'
""""""

if 'a' in my_string:
    #string contains 'a'
else:
    #string does not contain 'a'"
"Create a function in Python that takes two lists of equal length, and returns the sum of the elements in the same index in each list.","[2, 3, 4], [2, 5, 6]","def sum_elements_in_lists(list1, list2):
    if len(list1) != len(list2):
        return None
    
    result = []
    for i in range(len(list1)):
        result.append(list1[i] + list2[i])
    
    return result

result = sum_elements_in_lists([2, 3, 4], [2, 5, 6])
print(result)"
Can you develop a program using Python to check if number is prime?,13,"def is_prime(n):
    if (n <= 1): 
        return False
    elif (n <= 3): 
        return True
    elif (n % 2 == 0 or n % 3 == 0): 
        return False 

    i = 5
    while(i * i <= n): 
        if (n % i == 0 or n % (i + 2) == 0): 
            return False
        i = i + 6
  
    return True

print(is_prime(13))"
Write a Python function that takes an array of integers and finds the maximum difference between any two elements in the array,"[2, 3, 10, 6, 4, 8, 1]","def max_difference(arr):
  if len(arr) < 2:
    return 0
  curr_max = arr[1]-arr[0]
  min_elem = min(arr[0], arr[1])
  for i in range(2, len(arr)):
    curr_max = max(curr_max, arr[i] - min_elem)
    min_elem = min(min_elem, arr[i])
  return curr_max
  
print(max_difference([2, 3, 10, 6, 4, 8, 1]))"
Design a python program which takes a word string as an argument and returns the number of vowels in the string.,"""Hello""","def count_vowels(string):
    count = 0
    for ch in string:
        if ch in 'aeiouAEIOU':
            count += 1
    return count"
Write a Python script to extract all the values for a given key from a dictionary.,"dictionary = {
    'key1': 'val1',
    'key2': 'val2',
    'key3': 'val3',
    'key4': 'val4',
}","def get_key_values(dictionary, key):
    return [value for key, value in dictionary.items() if key == key]"
Design an algorithm in Python to Merge two lists.,"[1, 3, 5], [2, 4, 6]","def merge(list1, list2):
 merged_list = []
 
 while list1 and list2:
  if list1[0] < list2[0]:
   merged_list.append(list1[0])
   list1.pop(0)
  else:
   merged_list.append(list2[0])
   list2.pop(0)

 merged_list += list1
 merged_list += list2
 return merged_list

list1 = [1, 3, 5]
list2 = [2, 4, 6]

merged_list = merge(list1, list2)

print(""Merged list:"") 
print(merged_list)"
Write a Python program that reads in a list of numbers and sorts them in the ascending order.,"[2, 3, 4, 5, 1]","def sort_list(lst):
    lst.sort()
    return lst

result = sort_list([2, 3, 4, 5, 1])
print(result)"
Rewrite the given Python script to remove all punctuation from a given string.,This is a sample string with punctuation marks .,"def remove_punctuation(string): 
 new_string = """" 
 for char in string: 
 if char not in "",.?!;:"": 
 new_string += char 
 return new_string"
Write a function in Python that takes two integers as arguments and returns the number of common divisors between the two.,"350, 400","def countCommonDivisors(a,b): 
   
    divisors = [] 
   
    for i in range(1, min(a,b)+1): 
        if (a % i == 0 and b % i == 0): 
            divisors.append(i) 
              
    return len(divisors) 

num1 = 350
num2 = 400

print (countCommonDivisors(num1, num2)) 
# Output: 5"
"Edit the given Python program so that it prints the current date, in the format YYYY-mm-dd.","print(""Hello!"")","from datetime import date

print(""Hello!"")

current_date = date.today().strftime(""%Y-%m-%d"")
print(""Today's date is"", current_date)"
Create a function in Python that takes a value and inserts it into an already sorted list.,"[1, 5, 8], 6","# Python 
def insertInSortedList(sorted_list, value):
    left = 0
    right = len(sorted_list) - 1

    while left <= right:
        mid = left + (right - left) // 2
        if value < sorted_list[mid]:
            right = mid - 1
        else:
            left = mid + 1

    sorted_list.insert(left, value)
    return sorted_list"
Develop a program in Python to find the GCD of two numbers.,"a = 30, b = 15","def gcd(a, b): 
    if a == 0 : 
        return b  
  
    return gcd(b % a, a)  
  
# Driver program  
print(gcd(30,15))"
Create a Python program to filter a list of strings and return only the strings that contain a given substring.,"The list [""cat"", ""dog"", ""elephant"", ""rabbit"", ""duck""] and the substring ""ra"".","def filter_list(lst, sub):
 filtered = [s for s in lst if sub in s]
 return filtered

lst = [""cat"", ""dog"", ""elephant"", ""rabbit"", ""duck""]
sub = ""ra""

result = filter_list(lst, sub)
print(result)

# Output: ['rabbit']"
Rewrite this better Python program to calculate the square root of a given number.,"def squareRoot(number):
  root = number/2    
  for k in range(20):
    root = (1/2)*(root + (number / root))
  return root","def square_root(number): 
    """""" 
    Calculate the square root of a number 
    """""" 
    root = number # Initial guess 
    for i in range(20): # Iterative approach to refine guess 
        root = (1/2) * (root + (number/root)) 
    return root"
Create a program in Python for performing a linear search on a given list.,"[1, 2, 3, 4, 5, 6], 5","def linear_search(list, n): 
  
    for i in range(len(list)): 
  
        if list[i] == n: 
            return i 

list = [1, 2, 3, 4, 5, 6] 
n = 5

x = linear_search(list, n) 

if x == None: 
    print(""Element is not present in the list"") 
else: 
    print(""Element is present at index"", x)"
Write a Python script to print the size and color of shoes in a list.,"shoes = [('size', 10), ('color', 'blue'), ('size', 8), ('color', 'green')]","def print_size_color(shoes):
    for size, color in shoes:
        print('size:', size, 'color:', color)

print_size_color(shoes)"
Write a python function that takes in two positive integer numbers and generate a random number between them.,"min_range = 3
max_range = 7","import random

def generate_random_number(min_range, max_range):
    return random.randint(min_range, max_range)

min_range = 3
max_range = 7
random_number = generate_random_number(min_range, max_range)
print(random_number)"
Rewrite the following code to use list comprehension in Python.,"big_list = []
 for value in list:
   if value % 2 == 0:
     big_list.append(value)",big_list = [value for value in list if value % 2 == 0]
Write a function in Python that constructs a URL based on user input. The function should take a string and an integer as arguments and should construct a URL with the string as the base followed by sequential numbers starting from the number provided in the integer argument.,"base = ""https://www.example.com/""
start_num = 10","def construct_url(base, start_num):
 num = start_num
 while True:
 url = base + str(num)
 yield url
 num += 1"
Modify a given Python list by adding a certain value to each element.,"list = [1, 2, 3, 4, 5] 
value = 10","# Modifying the list by adding 'value' to each element
for i in range(len(list)):
    list[i] = list[i] + value

# Print the modified list
print(list)
# [11, 12, 13, 14, 15]"
Create a Python function to generate a histogram given a set of data.,"[ 1, 2, 4, 5, 7, 10]","import matplotlib.pyplot as plt

def histogram (data): 
    plt.hist(data)
    plt.title(""Frequency Histogram"")
    plt.xlabel('Data')
    plt.ylabel('Frequency')
    plt.show()"
Write a Python function to sort this dictionary by its keys in descending order.,"{
    1: 'one',
    2: 'two',
    3: 'three',
    4: 'four',
    5: 'five'
}","def sort_dictionary_keys(d):
  return {k: d[k] for k in sorted(d, reverse=True)}"
Re-write the following code snippet in Python:,"let nums = [1, 2, 3, 4, 5];
let squaredNums = nums.map(num => num * num);","nums = [1, 2, 3, 4, 5]
squared_nums = list(map(lambda num: num * num, nums))"
Write a Python script that takes a paragraph as input and prints the unique words in it.,This is a sample paragraph.,"paragraph = ""This is a sample paragraph.""

# split the string into words
words = paragraph.split()

# sort the words alphabetically
words.sort()

# remove duplicates
unique_words = []
for word in words:
    if word not in unique_words:
        unique_words.append(word)

# print the unique words
print("", "".join(unique_words))"
Write a Python script to find the longest word in an array.,"arr_of_words = ['cat', 'elephant', 'dog', 'bird']","def find_longest_word(arr):
 longest = ''
 for word in arr:
 if len(word) > len(longest):
 longest = word
 return longest

word = find_longest_word(arr_of_words)
print(word)  # Output: elephant"
Create a python program to convert a date from one format to another.,"""May 14, 2020"" -> ""14-05-2020""","import datetime

def convert_date_format(date_str, old_format, new_format): 
  dt_obj = datetime.datetime.strptime(date_str, old_format) 
  return dt_obj.strftime(new_format) 

print(convert_date_format(""May 14, 2020"", ""%b %d, %Y"", "" %d-%m-%Y""))"
Write a function in Python that merges two string and removes the duplicates.,"string_1 = 'one'
string_2 = 'two'","def merge_strings(string_1, string_2):
    s = set(string_1 + string_2)
    merged_string = ''.join(s)
    return merged_string

merged_string = merge_strings(string_1, string_2)
print(merged_string)

'''
Output:
onetwo
'''"
"Given two lists A and B, write a python program to find the intersection of those two lists.","A = [1, 5, 10, 15, 20]
B = [3, 4, 5, 6, 15]","def intersection(A,B):
    result = [] 
    for element in A: 
        if element in B: 
            result.append(element)
    return result"
Write a Python program to split a list into two halves.,"[14, 8, 3, 7, 5]","def split_list(lst):
    half = len(lst) // 2
    return lst[:half], lst[half:]

left, right = split_list([14, 8, 3, 7, 5])
print (""Left list : "", left)
print (""Right list : "", right)"
"Generating natural language from a database in Python,","db= { ""Name"": ""John"", ""Age"": 30, ""Occupation"": ""Engineer"" }","def generateNaturalLanguage(db): 
    sentence = ""The person is "" 
    sentence += db[""Name""] + "", "" 
    sentence += ""who is "" + str(db[""Age""]) + "" years old, "" 
    sentence += ""and works as a "" + db[""Occupation""] + "".""

    return sentence"
Generate a Python object literal from a dictionary.,"my_dict = {'a':1, 'b':2, 'c':3}","my_obj = {
    'a': 1,
    'b': 2,
    'c': 3
}"
Suggest a completion for the following method to reverse an array in python,"arr = [1, 2, 3, 4, 5]
def reverse_array(arr):
    for","def reverse_array(arr):
    for i in range(len(arr)//2):
        arr[i], arr[len(arr)-i-1] = arr[len(arr)-i-1], arr[i]"
Optimize the following code using functional programming in Python.,"def add_odds(list):
  odd_list = []
  for num in list:
    if num % 2 == 1:
      odd_list.append(num)
  return odd_list","def add_odds(list):
  odd_list = filter(lambda num: num%2==1, list)
  return list(odd_list)"
Create a Python function that takes a list of strings and returns a dictionary with the strings as keys and their frequencies as values.,"[""hello"", ""world"", ""hello"", ""goodbye"", ""world"", ""hello""]","def frequency(lst):
 result = {}
 for el in lst:
 if el in result:
 result[el] += 1
 else:
 result[el] = 1
 return result

print(frequency([""hello"", ""world"", ""hello"", ""goodbye"", ""world"", ""hello""]))
# Output: {'hello': 3, 'world': 2, 'goodbye': 1}"
Write a Python program to input three integers and determine their sum.,"5, 8, 10","def three_integers(x, y, z):
  return x + y + z

x = 5
y = 8
z = 10

print(three_integers(x, y, z))"
Write a python program to create a frequency table for the following list.,"[1, 8, 9, 11, 2, 10, 1, 5, 6, 8]","from collections import Counter

data = [1, 8, 9, 11, 2, 10, 1, 5, 6, 8]
counter = Counter(data)

# print the frequency table
print('Frequency Table:')
for item in counter.most_common():
    print(item)"
"Write a function in Python to generate an N by N matrix, filled with random integers between 0 and 9",N = 5,"import random

def generate_matrix(N):
    matrix = []
    for i in range(N):
        row = []
        for j in range(N):
            row.append(random.randint(0, 9))
        matrix.append(row)
    return matrix"
Compute the sum of list integers using Python.,"Target list: [3, 5, 7, 9]","mylist = [3, 5, 7, 9]
total = 0

for item in mylist:
   total = total + item

print(""The sum of list items is:"", total)"
Improve the following Python code by making it faster and more efficient.,"def multiply(a, b):
    result = 0
    for x in range(a):
        result += b
    return result","def multiply(a, b):
    result = 0
    while a != 0:
        if a & 1:
            result += b
        a >>= 1
        b <<= 1
    return result"
Write a python program to generate a new list of numbers based on existing list which increase sequence by 5,"[10, 20, 30, 40]","def generate_numbers(list):
    new_list = [] 
    for number in list:
        new_list.append(number + 5) 
    return new_list"
Develop a Python script to scrape all HTML elements from a given website.,Input URL: https://www.example.com/,"import requests
from bs4 import BeautifulSoup

# Request the HTML page
url = 'https://www.example.com/'
page = requests.get(url)

# Create the Beautiful Soup object
soup = BeautifulSoup(page.content, 'html.parser')

# Fetch all HTML elements
elements = soup.find_all()

# Output elements
for element in elements:
    print(element)"
Write a Python program to generate a password with a given length and characters.,"length = 10
characters = alphanumeric","import random

def generate_password(length, characters):
    password = ''
    for i in range(length):
        password += random.choice(characters)
    return password

print(generate_password(10, 'abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789'))"
Create a Python function for computing the Fibonacci sequence up to the nth number.,Number n: 10,"def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a

print(fibonacci(10)) # outputs 55"
Create a Python program to optimize the running time of a program using memoization.,"# k: as an input parameter
# f: a recursive function","def memoize(f, k):
    memo = dict()
 
    def helper(x):
        if x not in memo:            
            memo[x] = f(x)
        return memo[x]
 
    return helper(k)"
Construct a function in Python that sorts a list of tuples by the second element of the tuple in ascending order.,"tuples = [(6, 2), (5, 4), (7, 3), (2, 8), (1, 5)]","def sort_tuples(tuples):
    return sorted(tuples, key=lambda x: x[1])

print(sort_tuples(tuples))
# Output:  [(6, 2), (7, 3), (1, 5), (5, 4), (2, 8)]"
"Given a string, write a python program to print the next largest palindrome.","""1234""","def next_largest_palindrome(num):
    # convert string to a number
    num = int(num)
    # increment number by 1
    num += 1
    while not is_palindrome(str(num)):
        # increment number by 1
        num += 1

    return num

def is_palindrome(num):
    return num == num[::-1]

print(next_largest_palindrome(""1234""))

# Output: 1331"
"In Python, write a function to create a dictionary using the given two lists.","keys = [""name"", ""age"", ""number""]
values = [""John"", 32, 258]","def create_dict(keys, values):
    return {key: val for key, val in zip(keys, values)}"
Create a function in Python to calculate the distance between two points.,"point1 (x1, y1): (2, 7)
point2 (x2, y2): (4, 9)","import math

def distance_between_points(x1, y1, x2, y2):
    return math.sqrt((x2 - x1)**2 + (y2 - y1)**2)
    
# Call the function
distance = distance_between_points(2, 7, 4, 9)
print(""The distance between the two points is"", distance)"
Write an app in any language that takes two integers as input and returns the greatest common divisor of the two numbers.,"24, 18","JavaScript:

function gcd(a, b) {
 if (b === 0) return a;
 return gcd(b, a % b);
}

console.log(gcd(24,18)) // 6

Python:

def gcd(a, b): 
 if(b == 0): 
 return a
 else: 
 return gcd(b, a%b) 

print(gcd(24,18)) # 6"
Write a Python script that receives a string from the command line and prints out the string in reverse order.,"""This is my string.""","import sys

input_string = sys.argv[1]
print(input_string[::-1])"
Generate an edit script for transforming an input text.,"Text 1: He went to the store
Text 2: She visited the store","#!/usr/bin/env python

text1 = ""He went to the store""
text2 = ""She visited the store""

edited_text = text1[:2] + text2[2:]

print edited_text"
Write a function in Python to search a string for a specific pattern.,"Search for ""abc"" in ""abcxyzabc","def search_for_pattern(s, pattern):
    if pattern in s:
        return True
    else:
        return False

result = search_for_pattern(""abcxyzabc"", ""abc"")
print(result)"
Implement a decision tree model in Python to classify given data.,"[0, 1, 0, 1, 0], [1, 0, 1, 0, 1]","#importing necessary libraries
from sklearn import tree
import numpy as np

#data
X = np.array([[0, 1, 0, 1, 0], [1, 0, 1, 0, 1]])
y = np.array([0, 1])

#model
clf = tree.DecisionTreeClassifier()
clf = clf.fit(X, y)

#predicting
x_test = np.array([[1, 0, 0, 0, 1]])
prediction = clf.predict(x_test)

#result
print(prediction)"
"Using Python, create a dictionary with the list of elements in ""a"" and as the value, the list of elements in ""b"".","a = [1, 2, 3, 4]
b = [5, 6, 7, 8]","dict_1 = {1: [5, 6, 7, 8], 2: [5, 6, 7, 8], 3: [5, 6, 7, 8], 4: [5, 6, 7, 8]}"
"Given the following data, adjust the Python code so that it outputs a JSON representation of the data.","data = [
  {
    ""id"": 5,
    ""name"": ""John""
  },
  {
    ""id"": 7,
    ""name"": ""Jack""
  },
  {
    ""id"": 9,
    ""name"": ""James""
  }
]","import json

data = [
  {
    ""id"": 5,
    ""name"": ""John""
  },
  {
    ""id"": 7,
    ""name"": ""Jack""
  },
  {
    ""id"": 9,
    ""name"": ""James""
  }
]

data_json = json.dumps(data, indent=4)
print(data_json)"
Implement a bubble sort algorithm in Python to sort a list of numbers from lowest to highest.,"[5, 3, 1, 4, 7]","def bubble_sort(array):
    for i in range(len(array)):
        for j in range(i + 1, len(array)):
            if array[i] > array[j]:
                array[i], array[j] = array[j], array[i]
    return array

arr = [5, 3, 1, 4, 7]
sorted_arr = bubble_sort(arr)
print(sorted_arr)"
Write a code in Python to print the following string:,"""Welcome to the amazing world of programming!""","print(""Welcome to the amazing world of programming!"")"
Generate a Python code snippet to make a copy of a given list.,"list_a = [1, 2, 3, 4, 5]",list_b = list_a[:]
Create a Python program to print out the given string in all uppercase.,"""This is a test string""","string = ""This is a test string""

print(string.upper())"
Edit this Python program to make the output more accurate,"def calculate_average(numbers):
    total = 0
    for n in numbers:
        total += n
    return float(total) / len(numbers)","def calculate_average(numbers):
    total = 0
    for n in numbers:
        total += n
    return float(total) / len(numbers) if len(numbers) > 0 else 0"
Construct a Python script to normalize a given vector.,"[2, 3, 4]","def normalize_vector(v):
  norm = 0
  for x in v:
    norm += x**2
  norm = norm**0.5
  for i in range(len(v)):
    v[i] = v[i] / norm
  return v

result = normalize_vector([2, 3, 4])
print(result) # [0.37139068, 0.55708601, 0.74278135]"
Create a python program to print the total number of vowels in a given string,"string = ""This is a sample string ""","def count_vowels(string):
    count = 0
    for character in string:
        if character in 'aeiouAEIOU':
            count += 1
    return count"
Write a Python function to find the sublist with the maximum sum in a given list.,"list_a = [-2, 3, 5, 4, -3, 7, -2]","def max_sum_sublist(list_a):
 start = 0
 end = 0
 max_sum = 0
 
 current_sum = 0
 for i in range(len(list_a)):
  current_sum += list_a[i]
  if current_sum < 0:
   current_sum = 0
   start = i + 1
  if current_sum > max_sum:
   max_sum = current_sum
   end = i
 
 return list_a[start:end+1]
 
max_sum_sublist(list_a)"
Create a program in Python that takes a given string and returns a dictionary whose keys are the words in the string and values are the number of occurances of each word.,"String = ""Hello world, This is me""","def word_count(string):
 count = {}
 string = string.split()

 for word in string:
 if word in count:
 count[word] += 1
 else:
 count[word] = 1

 return count

print(word_count(""Hello world, This is me""))"
Establish a Python program to replace all the words in a given sentence by the first letter of the respective words.,Sentence: Hello World,"def replace_with_first_letter(sentence):
    words = sentence.split()
    result = [word[0] for word in words]
    return ''.join(result)

print(replace_with_first_letter(""Hello World"")) # Output: HW"
Generate a program to extract the substring from a given string,"string = 'Python is fun'
start = 7
end = 11","def extract_substring(string, start, end):
    substr = string[start : end]
    return substr

string = 'Python is fun'
start = 7
end = 11

print(extract_substring(string, start, end))"
Implement a Python function for finding the difference between two lists.,"list1 = [1, 2, 3, 4]
list2 = [2, 3, 4, 5]","def difference(list1, list2):
    difference_set = set(list1) - set(list2)
    return list(difference_set)

list1 = [1, 2, 3, 4]
list2 = [2, 3, 4, 5]

difference = difference(list1, list2)
print(difference)

# Output:
# [1]"
Implement a function in Python that takes a list of strings and returns a new list of strings containing all words that start with an uppercase letter.,"list = [""Apple"", ""banana"", ""Pineapple"", ""Grapes""]","def upper_words(list):
    result = []
    for word in list:
        if word[0].isupper():
            result.append(word)
    return result"
