question_id,Instruction,materi
2014,Create a program in Python that shuffles an array of numbers.,Data Structure
2015,Write a Python program to implement a decision tree using a given dataset.,Lainnya
2016,"Build a type checking function to determine what kind of data is being processed, given a generic string in Python.",Data Type
2017,Design an algorithm to compute the GCD of 2 numbers in Python.,Lainnya
2018,Implement webscraping with Python to extract content from a given website.,Lainnya
2019,Generate a Python program that takes in two lists and returns the intersection of the two.,Lainnya
2020,Construct a python program to flatten a nested list recursively.,Data Structure
2021,Generate the python code that check if the given element is in a list.,Data Structure
2022,Create a Python program that takes a message as input and encrypts it using the Caesar cipher.,Lainnya
2023,Complete the Python class below so that it can calculate the sum of two integers.,OOP
2024,Suggest a function to remove elements of an array that are greater than a given limit,Data Structure
2025,Write a Python code that replaces every occurrence of an alphabet in a sentence with the next alphabet in the alphabetical order.,Lainnya
2026,"Using Python, create a program to filter out all non-prime numbers from a list.",Operator
2027,Write a Python function to generate a substitution cipher of a given string,Data Type
2028,Generate a Python function that takes an array of numbers and returns the sum of all the odd numbers in the array.,Data Structure
2029,Write a Python program to filter out the numbers from a list that are divisible by a given number.,Data Structure
2030,Generate a Python program to iterate over a list of numbers and print out only the even numbers.,Introduction Python
2031,Generate a Python program to print the characters at even positions in a given string.,Introduction Python
2032,Create a program in Python that takes a list of numbers and sorts them in descending order.,Data Structure
2033,Develop a virtual assistant command in Python to generate a random number between two user-supplied numbers.,Operator
2034,Create a function in Python to identify consecutive numbers in a given list.,Data Structure
2035,Create a program to remove all the duplicate elements from the given array in Python.,Data Structure
2036,Suggest how to make the following Python loop execute faster.,Lainnya
2037,Generate a python function to convert a student's grade from a 0 to 100 scale to the corresponding letter grade according to the following grade scale.,Function
2038,Create an algorithm in Python that reads an array of integers and returns the maximum element.,Data Structure
2039,Create a Python program that takes a positive integer as input and returns the Fibonacci sequence up to the given number.,Lainnya
2040,Develop a Python function to calculate the mean of a list of numbers.,Data Structure
2041,Write a python program that prints out the number of times each letter appears in a given string.,Data Type
2042,Develop a program to sort an list of strings by their length using Python.,Data Structure
2043,Generate a Python function that takes an matrix as input and raises each element of it to the power of 3.,Function
2044,write a python code to filter 'mylist' and remove odd numbers,Lainnya
2045,Write a Python code to sort a list of words alphabetically.,Data Structure
2046,Create a function in Python that will convert a string to all uppercase letters.,Data Type
2047,Develop a Python program to sort a 3D array according to the second axis in ascending order.,Data Structure
2048,Generate a python program to iterate through a given list and find the minimum value.,Data Structure
2049,Write a python program that sorts a list of numbers in descending order.,Data Structure
2050,"Create a Python function that takes a string argument, removes all the special characters and returns the modified string.",Data Type
2051,"In Python, create an algorithm to find the k most frequent strings in a given list.",Data Structure
2052,Write a Python program to evaluate a given string and return a Boolean value.,Data Type
2053,Create a program in Python that takes in a text document and counts the number of times a specific word is used in it.,Lainnya
2054,In Python create a function that takes a list of numbers and returns the sum of the even numbers in the list.,Data Structure
2055,Convert the following program from Java to Python.,Lainnya
2056,Develop a Python script to extract the first sentence of each paragraph in a given text.,Lainnya
2057,Create a function in Python that returns the sequential median value from an array of integers.,Data Structure
2058,Design an algorithm in Python to find the second smallest number in an array.,Data Structure
2059,Generate code to serialize a Python data dictionary into a JSON object,OOP
2060,Generate a Python function to print all the even numbers from 0 to a given number.,Introduction Python
2061,"Rewrite the following piece of code in Python, that calculates the sum of two variables.",Lainnya
2062,Convert the given JSON data into Python dictionary.,Lainnya
2063,Design a Python script to print out a list of unique numbers from 0 to N.,Introduction Python
2064,Create a Python program to compute the sum of all elements in a given array.,Data Structure
2065,Construct a python program for linear search for a given element in an array.,Data Structure
2066,Rewrite the following list comprehension in a more pythonic way.,Data Structure
2067,Make Python program to filter out all even numbers from a given list,Data Structure
2068,Write a python program to calculate the total of the following list of numbers,Data Structure
2069,Write a Bash script to check if a specific program is installed on the current system.,Control Structure
2070,Edit the following code snippet to calculate average in Python.,Lainnya
2071,Create a Python program that finds the longest word in a sentence.,Lainnya
2072,Write a python code to calculate the sum of numbers in a list except for the last element.,Data Structure
2073,Generate the Python code for a pipelie of KMeans and GaussianMixture clustering models.,Control Structure
2074,Create a Python function that sorts the numbers in a given list in ascending order.,Data Structure
2075,Write a python program to print the items in the following dictionary,Introduction Python
2076,Reverse the elements of a given array in Python.,Data Structure
2077,What is the code for using the Python Requests module to post data to the server?,Control Structure
2078,Create a Python program to calculate the total cost of an order based on item cost and quantity.,Lainnya
2079,Find the maximum number in the following list using a Python program.,Data Structure
2080,Edit the following Python code to return the same output with fewer code lines.,Function
2081,Optimize the given code in Python.,Lainnya
2082,Create a function in Python that takes two strings as inputs and prints out the longer of the two strings.,Function
2083,"Create a Python function that takes a string and a pattern, and returns the number of times the pattern appears in the string.",Data Type
2084,Write a Python function to convert a given number into its corresponding Roman numeral.,Function
2085,Edit the following Python code to make the program run without any errors.,Lainnya
2086,Create a python script that takes 2 arguments - an array and an integer - and prints the sum of the array multiplied by the integer.,Data Structure
2087,Write a Python program that optimizes an array to find the smallest and largest numbers in the array.,Data Structure
2088,Rearrange the words in the following sentence to create a meaningful sentence.,Lainnya
2089,"Using the provided data, create a Python program that can categorize a book as fiction or non-fiction.",Operator
2090,"Create a Python program to check if a given number is in a given linear list or not, and return the position if found.",Data Structure
2091,Implement a function in Python to print all the uppercase letters from a given string.,Introduction Python
2092,Create a function in Python which takes two arguments – an array of integers and an integer x – and returns a list of all pairs in the array with a sum equal to x.,Data Structure
2093,Can you create a web scraper in Python to extract the titles of articles from a newspaper website?,Lainnya
2094,Build a Python program that takes in two lists as an input and returns a third list with the common elements across the two inputs.,Data Structure
2095,Write a Python function which extracts zip codes from a provided string.,Data Type
2096,Write a Python program to find the prime numbers from a list given by the user.,Data Structure
2097,Create a Python function to combine two strings.,Function
2098,Write a Python program to compare two strings and print the number of times the second string appears in the first string.,Introduction Python
2099,Convert the following Python code to JavaScript.,Lainnya
2100,Create a program in Python which takes a string and finds the number of each English vowels.,Data Type
2101,Write a Python program to find the list of words that are longer than n from a given list of words.,Data Structure
2102,"Given a string, write a python program to count the number of words in the string.",Data Type
2103,"Create a Python module that takes a list of numbers, calculates the mean, and returns it.",Data Structure
2104,Create a Python program to determine whether a given number is prime or not.,Lainnya
2105,Create a Python script to implement a linear search for a given list of numbers.,Data Structure
2106,Create a Python program to track and record the frequency of each word from a given list of words.,Data Structure
2107,Create a Python program to calculate day of the week for a given date.,Control Structure
2108,Can you generate a Python program that takes a string as input and returns a dictionary with the count of each letter in the string?,Data Type
2109,Develop a Python class that reads and stores a list of integers.,Data Structure
2110,Create a Python function to remove all duplicate elements in a given list.,Data Structure
2111,Create a web scraper with Python that collects all the titles of posts from a website.,Lainnya
2112,Write a Python class to represent a polynomial of degree n.,OOP
2113,Develop a python program to convert pounds to kilograms.,Lainnya
2114,"Write a Python program to generate a dictionary which contains (i, i*i) such that i is an int between 1 and N.",Operator
2115,"Produce a single Python statement that multiplies the values of the variables x, y, and z, and stores the result in the variable result.",Lainnya
2116,Write a Python program to optimize a set of points in a 3-dimensional plane.,Operator
2117,Generate a Python program that creates a word cloud from a given text.,Lainnya
2118,"Given a JSON object, write a python program to print the square of every value, only if the value is even.",Introduction Python
2119,Write a Python program to create a join of two given strings being separated by a given separator.,Lainnya
2120,Compose a python program to classify each items in our list.,Data Structure
2121,Generate a python program to remove duplicate values in a given list.,Data Structure
2122,"Create a string formatting function in Python that takes a first name, last name, and age as parameters.",Data Type
2123,Write a Python program that finds the smallest number in a given array with an algorithm that has an optimal time complexity.,Data Structure
2124,Generate a python program to create a Pandas DataFrame using the following input data.,Lainnya
2125,Develop a function in Python to take as input two array of integers and swap their elements.,Data Structure
2126,Construct a nested loop in Python to print out the following elements in a new line.,Introduction Python
2127,Write a Python code to get the intersection of two given arrays.,Lainnya
2128,Write a Python program to store and display information about a restaurant.,Lainnya
2129,Generate a program in Python to implement quick sort on an array of integers.,Data Structure
2130,Reformat a collection of list into a dictionary in Python.,Data Structure
2131,Generate Python code for making a GraphQL API query.,Control Structure
2132,Optimize the following Python code for counting the number of words in an input string.,Data Type
2133,Give a Python function that shuffles the elements of a given list.,Data Structure
2134,Write a Python code snippet to print out the first ten entries in a given dictionnary.,Introduction Python
2135,Create a method in Python that returns the result for the factorial of a given number.,Control Structure
2136,Generate Python code to tokenize the given text.,Lainnya
2137,Create a Python program to normalize a list of numbers so that the sum of the numbers add up to 1.,Data Structure
2138,Write an algorithm in Python to find the missing number in a given sequence of numbers,Lainnya
2139,Create a Python program to generate a sentence from a given set of words.,Data Structure
2140,"Write a Python function to classify data points as low, medium and high according to the given threshold values.",Function
2141,Create a Python program to sort a given array in increasing and decreasing order.,Data Structure
2142,Create a Python script to generate all the combinations of a given list of integers.,Data Structure
2143,Write a Python program to edit an array of strings to filter out all the strings that do not contain the given substring.,Data Structure
2144,Write a Python program to generate and print a random list of size n.,Introduction Python
2145,How can we create a function to check if a given string is a palindrome in Python?,Data Type
2146,"From a Python data type, generate a json string.",Data Type
2147,Can you write a Python script that prints out the number of 'a's found in a text string?,Data Type
2148,Design an algorithm in Python to find a missing number from a given range of numbers.,Lainnya
2149,Create a program in Python to calculate the length of a given string without using the len() method.,Data Type
2150,Optimize a given code in Python to run faster.,Lainnya
2151,Create a Python script to scrape the HTML of a given web page and extract all of its headings and paragraphs.,Lainnya
2152,Identify a code segment's language from a given snippet.,Lainnya
2153,Convert a Python dictionary to a JavaScript object.,OOP
2154,Create a function in Python to give the multiple of 6 of any given number.,Function
2155,Create a Python program to extract the top 10 words from a text.,Lainnya
2156,"Create a Python lambda expression that takes one argument, word, and converts all uppercase letters in the given word to lowercase.",Lainnya
2157,Compose a Python program that takes in a list of strings and returns a list with duplicate strings removed.,Data Structure
2158,Outpus the number of unique elements in a Python list.,Data Structure
2159,"Given a number of queues, each containing numbers, write python code to find and print out the numbers at the front of each queue.",Introduction Python
2160,Write a Python function to convert a given floating point number to binary.,Function
2161,Design a Python script to generate a report containing summaries of the data in a table.,Lainnya
2162,Create a function to generate a random string of fixed length using Python.,Data Type
2163,Create an efficient algorithm in Python to convert a list of integers into a single integer representing the sum of the list elements.,Data Structure
2164,Develop a Python program to reverse an integer.,Lainnya
2165,Develop a python program for,Control Structure
2166,Create a function to calculate the Fibonacci sequence in Python,Function
2167,Create a Python program to check if a given list is sorted in ascending order.,Data Structure
2168,Write Python code to retrieve a specific element from a 2D array.,Data Structure
2169,Write a Python program to take a list of integers and sort them in ascending order using insertion sort.,Data Structure
2170,Write a python script to get the filename from the given path,Lainnya
2171,Create an algorithm in Python that finds all subsets of a given set.,Data Structure
2172,Update the following Python program to validate a phone number.,Lainnya
2173,Create a python script that takes an array of integers and returns an array of their squares.,Data Structure
2174,Create a Python function that takes in an array of numbers and returns the maximum value in the array.,Data Structure
2175,Design a program that takes a complicated function and simplifies it in Python.,Function
2176,Create a program in Python which will take in a sentence and print out each word in reverse.,Introduction Python
2177,Optimize an existing Python script by improving its runtime performance.,Lainnya
2178,Write a commmand-line script that sums all numbers from 0 to N where N is provided as input.,Operator
2179,Write a python program to create a connection to a given database.,Lainnya
2180,Create a Python program to ask a user for the number of students in the class and generate an array of empty strings of that length.,Data Structure
2181,Write a function in Python that takes an unordered list of integers as a parameter and will return a sorted list.,Data Structure
2182,Develop a Python program to grade a student's performance on a multiple choice test.,Lainnya
2183,Rewrite the following Java Program using Python.,Lainnya
2184,Code a program in Python to convert a text into its corresponding binary representation.,Lainnya
2185,Generate a Python program to remove all occurrences of the character 'x' from a list,Data Structure
2186,Write a function in Python to count how many words are in the given string.,Data Type
2187,Write code to generate a set of random numbers between 0 and 10 in Python.,Data Structure
2188,Identify and fix the bug in the following Python code.,Lainnya
2189,Generate a Python program to reverse the digits of a given number.,Lainnya
2190,Create a Python function to calculate the standard deviation of a set of numbers.,Data Structure
2191,"Create a program in Python that prints ""Greetings"" for any name that is passed as an argument.",Control Structure
2192,Create a Python script to remove redundant characters in a given string.,Data Type
2193,Can you make a Python program to print out the Fibonacci sequence up to the nth element of the sequence?,Introduction Python
2194,"Generate a Python function that takes a string as input and returns True if the string contains a capital letter, otherwise False.",Data Type
2195,Suggest a completion for the following python code to get the maximum unique elements in an array.,Data Structure
2196,Write a Python program to calculate the total sum of a given list of numbers,Data Structure
2197,Write a Python program to check if the given matris is a symmetric matrix.,Control Structure
2198,Write a python program to convert a given string in valid json format,Data Type
2199,Develop an algorithm in Python for finding the maximum index of an array's sub-array.,Operator
2200,Develop a python program to convert the given text into a list,Data Structure
2201,What is the purpose of the method in line 4 of the code?,OOP
2202,Write a Python program to efficiently delete all items from a set that are in another set.,Data Structure
2203,Develop a Python code to give an alert message of the total cost of an item after adding tax.,Lainnya
2204,Write a Python script to download the html content of a given webpage,Lainnya
2205,Create a Python function that takes in an array of integers and returns the maximum value.,Data Structure
2206,Create a basic Python application to return the similarity between two strings using fuzzywuzzy.,Introduction Python
2207,Generate a function in Python that takes a number as input and prints its corresponding binary representation.,Function
2208,"using the following Json as an example, write a Python program that reads this Json into an object.",OOP
2209,Write a function in Python that prints all the prime numbers between two given numbers inclusive.,Function
2210,Create a Python program to remove all duplicate elements from a list and preserving the original order.,Data Structure
2211,Develop a function in python to delete all the vowels in a string.,Data Type
2212,Construct a program to filter out empty strings from a given list.,Data Structure
2213,Create a python program to check the following string for palindrome,Data Type
2214,Write a code snippet in Python which takes an array and returns the list of its square root values.,Data Structure
2215,Modify the following Python program to calculate the factorial of a given number.,Lainnya
2216,Create a Python script to randomly generate a character from a given list of characters.,Data Structure
2217,"Using any programming language of your choice, write a calculator program that takes in two integers and returns the result of the addition operation.",Lainnya
2218,Generate a Python function to classify the given list of numbers into two subgroups (positives and negatives).,Data Structure
2219,"Write an Python script to extract the year, month and day from a given date in the format ""dd/mm/yyyy"".",Operator
2220,Generate a Python script to sort a 2D array of integers by the second column.,Data Structure
2221,Create a function in Python that takes a list of strings and checks if any of the strings are palindromes.,Data Structure
2222,Concatenate two strings using Python,Lainnya
2223,Rewrite the following code snippet to use the generator in Python.,Lainnya
2224,Develop a Python program to search an element in a list using linear search.,Data Structure
2225,Create a function in Python to generate a random username using a list of provided names.,Data Structure
2226,Create a Python dictionary that stores the number of occurrences of each character in a string.,Data Type
2227,"Create a Python program to calculate the total cost of an item given its price, number of pieces, and tax rate.",Lainnya
2228,Create a Python program to remove all characters from a given string except for letters and whitespaces,Data Type
2229,Write a command line script to calculate the total number of people who attended a concert.,Lainnya
2230,"Create a program in Python that takes two parameters, a string and an integer, and returns the string repeated that many times.",Data Type
2231,Edit this code snippet in Python to remove any errors and improve readability.,Lainnya
2232,Can you make the following string lowercase using Python?,Data Type
2233,"Write a function in Python that takes two parameters, an integer and a list of strings, and returns a modified list of strings.",Data Structure
2234,Write a Python program to generate a dataframe from a given JSON response.,Lainnya
2235,Generate a python program that takes a list of names and prints the longest name.,Data Structure
2236,Write a Python code to create a dictionary which contains a data structrue in the form of [x:x^2] where x is the key and x^2 is the value.,Lainnya
2237,Create a script to join two given strings if they have compatible characters.,Control Structure
2238,"In Python, write a function that takes a string as input and reverses it.",Data Type
2239,Generate a correct python program to identify a particular character in a string.,Data Type
2240,Write a Python program that inputs two numbers and prints out their GCD (greatest common divisor).,Lainnya
2241,Write a Python program to search for a given string in a list of strings and return the index of the first occurrence of that string.,Data Type
2242,Write a function in Python that takes in a string and then reverses each word in the string.,Data Type
2243,Create a function in Python to determine whether a given string contains any whitespace character.,Data Type
2244,Generate a function in Python that finds the max element in a given list.,Data Structure
2245,Write a Python program to add two numbers given in string format.,Data Type
2246,Create an optimizer tool in Python to find the maximum of a given set of inputs.,Data Structure
2247,Write a Python function to convert all strings in a list to lower case.,Data Structure
2248,Create a Python program to compare two strings and return the percentage of characters that match.,Function
2249,Write a basic web scraper in Python using the BeautifulSoup library. The scraper should take as input a URL and output the text on the page.,Introduction Python
2250,"Given a list, convert it to a dictionary using Python.",Data Structure
2251,Generate a Python program to calculate the maximum possible sum of a sub-array in an array of integers.,Operator
2252,Add a function to a python program that returns the maximum value in a list of integers.,Data Structure
2253,Create code in Python to check the right-hand side of a list and remove any elements which are divisible by 3.,Operator
2254,Create a Python program to take an array of integers and calculate the sum of squares of all numbers provided in the array.,Data Structure
2255,Create a function to remove duplicates from an array with Python.,Data Structure
2256,Implement a function in Python that takes a list of integers and a number and returns a list of numbers that have the given number as their sum.,Data Structure
2257,Generate a Python program to solve cube root of the input number.,Lainnya
2258,Generate a function in Python to populate a dictionary data-structure with a list of numerical values.,Operator
2259,Create a program in Python that takes in a list of strings and returns the longest common substring between all the strings.,Data Structure
2260,Debug a Python function that swaps the values of two variables.,Function
2261,Write a Python program to remove all whitespace from a string.,Data Type
2262,Write a function in Python that takes in two strings of the same length and returns the number of different characters in the two strings.,Function
2263,Write a Python program to create a list of odd numbers between x and y.,Data Structure
2264,Write a Python script to find out the sum of all the divisors of a given number.,Lainnya
2265,Generate a Python program to search for a particular string in a given dictionary?,Data Type
2266,Create a Python program to calculate the sum of all digits of a number,Lainnya
2267,Write a python program which will show the number of even numbers in a list.,Data Structure
2268,Suggest a way to make this Python function more efficient:,Function
2269,Create a function in Python which takes in two strings and concatenates them into one.,Function
2270,Generate a python program to calculate the number of elements in a set.,Data Structure
2271,Write a Python code for sorting a list of integers in ascending order.,Data Structure
2272,"Create a Python function to classify a given string as a Positive, Negative, or Neutral sentiment.",Data Type
2273,"Develop a Python program that takes an array of strings, and returns an object that contains the frequency of each string in the array.",Data Type
2274,"Create a Python script to normalize numerical data. The script should take a list of numbers as an input, and returns a normalized list of numbers.",Data Structure
2275,Create a program in Python to multiply all numbers in a list by a given number and return the result as a new list.,Data Structure
2276,Design a program using the Python language to calculate the average cost of a given list of items.,Data Structure
2277,Write a Python program to print out the Fibonacci series up to n numbers where n is a user input.,Introduction Python
2278,Write a python program to parse a JSON array of objects.,Data Structure
2279,Write a Python program to convert a given integer to binary representation.,Lainnya
2280,Create an algorithm in Python that takes a list of strings and returns a list of strings with the duplicates removed.,Data Structure
2281,What is the smallest possible code in Python to read the value of an item in a given dictionary?,Lainnya
2282,Create a class in Python that takes two arguments a 'name' and 'age' and returns a greeting.,OOP
2283,Design a Python program that takes two integers as input and finds the greatest common divisor of them.,Lainnya
2284,Write a Python program to edit the given JSON string using the given selection criteria.,Data Type
2285,Design a python program to replace every occurrence of a word in a string with another word.,Data Type
2286,"Write a Python program to create a new string from a given string, where the first and last chars have been exchanged.",Data Type
2287,Generate a code to generate the Fibonacci sequence until the nth number using the Python programming language,Lainnya
2288,Write a Python code that gives the output of all possible combinations of given elements.,Lainnya
2289,Write a Python script to implement a linear search algorithm.,Lainnya
2290,Create an optimization problem in Python to optimize the function.,Function
2291,Edit this Python function to return the result with two decimal points.,Function
2292,Design a loop in a Python program to print the Fibonacci series up to the nth term.,Introduction Python
2293,"Write a PostgreSQL query that returns the title and author of all blog posts with the keyword ""Python"".",Lainnya
2294,Create a Python package that contains a collection of functions for finding the average value of an array.,Data Structure
2295,Write a Python program to replace all the vowels in the given string with '_'.,Data Type
2296,Design a function in Python to find the most repeated character in a string.,Data Type
2297,"Given a list of strings, write a Python program to sort the strings according to the length of each string.",Data Type
2298,Optimize the following Python code to remove unnecessary operations or code.,Lainnya
2299,Create a Python script that takes an array with n elements and shuffles it.,Data Structure
2300,Generate a piece of Python code to print the reversed version of a list.,Introduction Python
2301,Write a Python program to return a list that contains all the elements of a given list except the given element x.,Data Structure
2302,Write a Python function to sort a list of dictionaries according to a certain key.,Data Structure
2303,Create a Python program to remove all occurrences of the given element in a given array.,Data Structure
2304,Generate a python function to convert an array to a dictionary,Data Structure
2305,Suggest a way to sort a list of integers in python in ascending order.,Data Structure
2306,Suggest a completion for the following Python code snippet that implements a linear search on an array.,Data Structure
2307,Develop an algorithm in Python to find the minimum number of coins needed to make change for a given amount,Control Structure
2308,Create a machine learning algorithm in Python to classify a given dataset.,Lainnya
2309,Generate code for rounding a given number to the nearest integer in Python.,Control Structure
2310,"Given an array of numbers, write a program to remove the duplicates from the array.",Data Structure
2311,Generate a Python program that computes the Euclidean distance between two points in a two-dimensional space.,Operator
2312,Create a Python script to detect if a certain item is in a given list of items. The script should work for any type of item.,Data Type
2313,"Write a Python program to create a set from a given list and calculate its intersection, union and difference with another set.",Data Structure
2314,Create a python script to concatenate two lists.,Lainnya
2315,Construct a function in Python that takes a list of strings and returns the original list with each string replaced by its reverse.,Data Type
2316,Develop a Python function to calculate the mean of an array of numbers.,Data Structure
2317,Write a python program to print the name and age of all customers in a list.,Introduction Python
2318,Refactor a given code snippet into a Python Lambda function.,Function
2319,Write a Python function to calculate the Hamming distance between two strings of same length.,Function
2320,Develop a function in Python that sorts a dictionary by value in descending order.,Function
2321,Translate the following code written in Python to Java.,Lainnya
2322,Design a class in Python that finds the highest number in a given array of integers.,Data Structure
2323,Create a Python program that takes a number as an input and computes the factorial of that number.,Lainnya
2324,Write Python script to replace all occurrences of a given letter in a string with another.,Data Type
2325,Generate code in Python to sum all the values of a dictionary.,Lainnya
2326,Write a Python script to delete all duplicate characters in a given string,Data Type
2327,Write a Python script to detect if two strings contain the same characters. Output should be true or false.,Control Structure
2328,Can you create an algorithm in Python for reversing an integer?,Control Structure
2329,Create a function in Python that takes an array and returns the element at the middle index.,Data Structure
2330,Generate a Python algorithm to check if a given word is a palindrome.,Control Structure
2331,Optimize the following Python code to run faster by using appropriate data structures.,Lainnya
2332,Generate a Python function that takes in a list of words and returns the length of the longest word.,Data Structure
2333,Create a simple algorithm in Python to find the mode of a given array of numbers.,Data Structure
2334,Write a Python script to fetch the sale price of a product from an online store.,Lainnya
2335,Create a Python program to generate a Fibonacci number sequence.,Lainnya
2336,Design a Python program to print out all possible permutations of a 3 character string.,Introduction Python
2337,Create a data structure to store and print all the codes for the top 10 programming languages.,Introduction Python
2338,Create a function using Python to reverse the order of the characters in each word of a given string,Data Type
2339,Find the number 10 in a string using a Python regular expression.,Data Type
2340,Write a Python script to generate a text report of the results of a survey of 10 people.,Lainnya
2341,Write a Python program to delete the third element of a list.,Data Structure
2342,Create a Python program which will sort the given array of numbers,Data Structure
2343,Create a histogram of the following data using Python.,Lainnya
2344,Write a function in Python to print the Fibonacci sequence up to the nth term.,Introduction Python
2345,Create two functions in Python to capitalize and uncapitalize each character of a string.,Data Type
2346,Create a Python program which computes the factorial of a given integer number.,Lainnya
2347,Sum the integers in a Python list.,Data Structure
2348,Create a Python script to return the average of the given list of numbers.,Data Structure
2349,Optimize the following Python code by replacing redundant computations.,Lainnya
2350,Create a Python script to reverse a given string.,Data Type
2351,Write a Python program to convert a list of numbers into a string.,Data Type
2352,Make a Python program that reads a 3x3 matrix and prints the sum of all elements.,Lainnya
2353,Design a Python program that takes an array of integers and returns the first element that is divisible by 7.,Data Structure
2354,Write a function to reverse the elements of a given array in Python.,Data Structure
2355,Design an algorithm in Python to find the smallest number in a given list.,Data Structure
2356,Rewrite and optimize the following provided code using modern Python library functions.,Lainnya
2357,Translate a Java loop into a while loop in Python.,Control Structure
2358,Write a Python program to classify a dataset with 6 classes.,Lainnya
2359,Write a Python program to create a dictionary containing the given list of numbers and their squares as values.,Data Structure
2360,Create a Python script for formatting a sentence.,Control Structure
2361,Suggest a python code to get the common elements of a list of lists.,Data Structure
2362,Generate a python statements to insert an item at a specific index in a list.,Data Structure
2363,"Implement a Python function called “check_prime” which takes an integer as an argument and returns True if the number is prime, and False otherwise.",Control Structure
2364,Develop a Python program to remove a specific character from a given string.,Data Type
2365,"Given a JSON object containing a list of key/value pairs, write a Python function to sort the list by value.",Operator
2366,Write a Python program to generate a unique set of random numbers from an existing list of numbers.,Data Structure
2367,Design an algorithm in Python that sorts an unordered list of three numbers in increasing order.,Data Structure
2368,Write a script in Python to return the cryptographic hash of a string.,Data Type
2369,Generate a Python function that sorts a list of numbers using the bubble sort algorithm,Data Structure
2370,Create a Python program to detect palindrome words.,Lainnya
2371,Create a python function to calculate the probability of a given event.,Function
2372,Generate code to calculate the distance between two points in an array in Python.,Data Structure
2373,Develop a biopython program which counts the number of occurrences of a given DNA sequence.,Lainnya
2374,"Write a Python program that takes a string and counts the number of occurrences of each letter, and then prints the results.",Data Type
2375,Generate a Python program to group a list of integers into even and odd numbers.,Data Structure
2376,Create a program to implement a selection sort in Python.,Lainnya
2377,Create a program in Python that takes a word as an argument and print it in reverse.,Introduction Python
2378,Design a python program to extract URLs from a website.,Lainnya
2379,Modify a Python program to generate output in JSON format.,Lainnya
2380,Write a Python program to iterate through a given list of integers and output the maximum value.,Data Structure
2381,"Construct a python program that takes an array of integers as an argument, and returns the second largest number.",Data Structure
2382,Generate a list in Python that contains all the words from a source string that start with a certain letter.,Data Type
2383,Write a Python program to do a brute force search for a pair of elements which sum to a given target value.,Control Structure
2384,Create a REST API endpoint in Python that fetches data from a database and returns it as JSON.,Lainnya
2385,"Given a list of integers, write a Python program to find the maximum value in the array and display its index.",Data Structure
2386,"Given the following Python function, use optimization techniques to reduce the running time of the function.",Function
2387,Add Python logging capabilities to a given Flask application.,Lainnya
2388,Write a function in Python that computes the median of a given array of numbers.,Data Structure
2389,Write a Python program to generate a table of all possible combinations for a given set of symbols.,Data Structure
2390,Create a Python code to check if a single integer is a prime number,Control Structure
2391,Create a program in Python to check for palindrome numbers.,Control Structure
2392,Write a Python program to collect data from an API and store the data in a SQL database.,Lainnya
2393,Write a python program that takes a list of numbers and prints out only the even numbers,Data Structure
2394,Create an alternate version of a given program that produces the same output.,Lainnya
2395,Convert a given code snippet from Swift to Python.,Lainnya
2396,Find the maximum value of a 10 element array in Python.,Data Structure
2397,Write a Python program to sort a list of tuples by the second element in the tuple.,Data Structure
2398,Identify and correct code issues in the following snippet of Python code.,Lainnya
2399,Generate Python code to calculate the Mean Squared Error (MSE) between a given set of predicted values and actual values.,Data Structure
2400,Update the given Python program to shuffle an array of numbers.,Data Structure
2401,Create a function in Python to delete all elements from a list which are divisible by 5.,Data Structure
2402,"Write a python program to convert a time string ""hh:mm:ss"" into total number of seconds",Data Type
2403,Create a Python program that takes a list of numbers as an input from the user and prints out the number that appears the most in the list.,Data Structure
2404,Write a Python script that counts the characters of a given string.,Data Type
2405,Design a data structure in Python to store information about a customer.,Lainnya
2406,Create a Python program to check if a string ends with a given substring.,Data Type
2407,Create a program in Python which takes a string and an integer as input and prints the string the given number of times.,Data Type
2408,"Given a list of dictionarys, create a python command to add ""hello"" in front of every value in the list.",Data Structure
2409,Generate a Python program to calculate the total cost including taxes of an item purchased based on the given inputs.,Lainnya
2410,Generate a Python program which use to generate an array of length N with random numbers based on the given seed.,Data Structure
2411,Create a function in Python to calculate the total of all the characters in a given input string.,Data Type
2412,"Using Python, create a function that takes two numbers as input, and generates a random number between them.",Function
2413,Sort a list in Python using the Quick Sort algorithm,Data Structure
2414,Create a program in Python to generate a random 2D matrix of size NxN containing integers between 1 and 10.,Lainnya
2415,Design an algorithm in Python that prints out the squares of each number between 1 and n.,Lainnya
2416,How can you use Python to calculate the mean value of a given list,Data Structure
2417,Write a Python program to classify a given animal according to its features,Lainnya
2418,Create a Python program that takes a list of integers and returns true if the list contains two distinct numbers whose product is even.,Data Structure
2419,Design an algorithm in Python to find the minimum of three values.,Lainnya
2420,Write a Python code snippet to sort lists of integers in descending order.,Lainnya
2421,"Write a Python program to print out the count of vowels, consonants and digits in an input string.",Introduction Python
2422,Create a feature extraction function in Python to extract data from a json string.,Data Type
2423,Debug the following Python code and make it functional (read the instructions for the code).,Control Structure
2424,Generate a program in Python that takes two strings and returns a list containing the combined string.,Data Type
2425,Write a function in Python to display all the words beginning with a given alphabet in a given string.,Data Type
2426,Optimize a given piece of Python code so that it runs faster without compromising on the integrity of the output.,Lainnya
2427,Update the below Python code to run in multiprocess mode.,Lainnya
2428,Please rank the following libraries according to their relevance for our program in Python.,Control Structure
